EmployeeNumber,Age,Attrition,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
1375,40,No,Research & Development,22,3,Life Sciences,1,1,Male,55,2,3,Reseach Director,4,Divorced,15856,6052,0,Y,No,12,4,2,8,0,21,5,3,38,9,15,4
1376,19,No,Sales,15,4,Human Resources,1,2,Female,66,2,1,Sales Executive,2,Single,15432,2755,1,Y,Yes,24,4,1,8,3,39,3,3,32,17,14,16
1377,44,No,Human Resources,1,3,Medical,1,2,Female,82,3,3,Manager,4,Married,2497,16625,3,Y,No,18,3,3,8,3,38,5,3,30,0,1,8
1378,59,No,Human Resources,12,4,Life Sciences,1,3,Female,59,1,2,Manager,1,Divorced,10136,21308,8,Y,Yes,19,3,3,8,1,24,4,4,12,13,13,1
1379,19,No,Research & Development,3,1,Technical Degree,1,4,Male,32,2,3,Healthcare Representative,1,Single,10915,16583,5,Y,No,13,3,3,8,2,21,1,3,1,5,2,0
1380,43,No,Research & Development,11,2,Human Resources,1,4,Male,72,1,2,Research Scientist,4,Divorced,2811,11357,7,Y,No,23,3,1,8,2,33,3,1,29,10,3,10
1381,34,No,Sales,2,1,Other,1,1,Female,36,1,3,Research Scientist,1,Divorced,16636,6666,1,Y,No,25,4,2,8,0,19,6,1,9,13,1,14
1382,57,Yes,Human Resources,16,1,Other,1,4,Male,78,2,4,Human Resources,3,Single,4529,24847,4,Y,No,19,3,1,8,2,35,5,1,22,2,13,0
1383,50,No,Sales,9,2,Technical Degree,1,2,Male,70,1,2,Healthcare Representative,4,Married,6905,26100,0,Y,No,16,3,2,8,2,36,1,1,32,15,3,6
1384,26,No,Research & Development,15,3,Medical,1,4,Female,83,3,4,Healthcare Representative,2,Single,16253,24768,3,Y,Yes,16,3,2,8,3,38,4,3,38,15,3,14
1385,60,No,Human Resources,12,2,Life Sciences,1,1,Female,98,3,2,Reseach Director,1,Divorced,4320,23653,0,Y,Yes,17,4,3,8,1,26,6,3,28,6,14,5
1386,65,Yes,Human Resources,1,3,Human Resources,1,2,Male,56,3,3,Manager,2,Single,19698,26829,8,Y,Yes,22,3,3,8,3,31,2,2,29,7,5,9
1387,56,No,Research & Development,13,3,Life Sciences,1,4,Female,37,3,4,Research Scientist,3,Divorced,19360,25482,1,Y,Yes,15,3,3,8,1,28,6,3,33,3,11,11
1388,46,No,Sales,14,4,Human Resources,1,4,Female,61,1,3,Sales Executive,1,Single,9018,21654,6,Y,No,16,4,1,8,0,40,0,1,38,11,4,12
1389,59,No,Sales,25,4,Other,1,3,Male,93,3,2,Healthcare Representative,3,Married,12915,7638,2,Y,No,21,4,3,8,3,31,1,4,16,11,6,14
1390,43,No,Human Resources,25,2,Life Sciences,1,1,Male,39,2,4,Manufacturing Director,4,Married,13236,22966,1,Y,Yes,11,3,1,8,1,23,2,3,21,9,10,16
1391,52,No,Research & Development,8,1,Technical Degree,1,4,Female,42,3,1,Laboratory Technician,3,Married,6471,23372,3,Y,No,13,3,3,8,2,2,1,2,4,11,6,12
1392,42,No,Human Resources,8,2,Medical,1,3,Male,92,2,3,Research Scientist,1,Married,14069,2277,6,Y,Yes,22,3,3,8,1,26,1,1,10,10,2,1
1393,41,No,Research & Development,27,3,Technical Degree,1,2,Female,64,2,2,Research Scientist,3,Single,4467,23129,6,Y,No,19,4,3,8,2,8,1,2,21,10,8,17
1394,30,No,Sales,12,4,Medical,1,3,Female,90,3,4,Manufacturing Director,1,Married,4739,20456,8,Y,No,22,4,1,8,0,39,4,3,31,14,6,10
1395,24,No,Research & Development,1,2,Life Sciences,1,3,Male,83,3,3,Research Scientist,1,Single,8556,23017,2,Y,Yes,15,3,2,8,2,22,3,3,23,5,6,4
1396,53,No,Sales,11,2,Life Sciences,1,4,Female,37,1,4,Manufacturing Director,3,Divorced,1036,9900,6,Y,Yes,15,3,1,8,1,6,1,3,10,10,15,3
1397,62,Yes,Research & Development,8,4,Medical,1,4,Female,58,2,3,Laboratory Technician,1,Divorced,16517,2921,5,Y,No,18,3,1,8,3,16,4,2,10,1,1,1
1398,37,No,Human Resources,10,4,Other,1,4,Female,70,3,3,Human Resources,1,Divorced,7432,21995,6,Y,Yes,21,4,1,8,1,36,0,1,16,8,14,15
1399,18,No,Sales,19,4,Human Resources,1,3,Male,59,1,3,Reseach Director,2,Married,13462,15652,6,Y,Yes,21,3,2,8,3,6,3,4,31,10,11,6
1400,25,No,Human Resources,11,3,Technical Degree,1,2,Male,50,3,4,Laboratory Technician,4,Married,18566,26484,4,Y,Yes,23,3,1,8,1,29,4,3,18,15,15,7
1401,63,No,Human Resources,7,4,Technical Degree,1,1,Male,40,3,4,Sales Representative,1,Married,17731,13612,8,Y,Yes,12,4,3,8,1,12,6,2,26,12,9,7
1402,33,No,Sales,11,1,Technical Degree,1,3,Female,31,3,3,Human Resources,4,Divorced,10269,13632,6,Y,No,23,3,2,8,0,17,0,1,31,12,15,1
1403,31,No,Sales,17,2,Life Sciences,1,4,Female,79,2,1,Reseach Director,2,Divorced,16870,24385,6,Y,No,17,4,1,8,2,30,6,1,24,17,15,14
1404,29,No,Human Resources,1,4,Technical Degree,1,1,Male,70,3,1,Manager,2,Divorced,18234,12769,2,Y,No,19,4,1,8,1,21,3,1,27,0,2,4
1405,40,No,Human Resources,26,4,Human Resources,1,2,Male,95,1,1,Manufacturing Director,2,Divorced,13485,14895,0,Y,No,17,3,2,8,3,13,4,2,39,9,2,9
1406,32,Yes,Human Resources,19,3,Human Resources,1,1,Male,32,3,2,Healthcare Representative,2,Single,13947,15980,4,Y,Yes,22,4,1,8,2,17,0,2,26,18,11,8
1407,45,No,Human Resources,21,3,Medical,1,4,Female,80,3,1,Sales Representative,4,Single,17686,15326,7,Y,Yes,15,4,2,8,0,34,4,2,13,16,12,7
1408,51,Yes,Sales,22,2,Life Sciences,1,3,Male,97,1,4,Laboratory Technician,3,Married,11058,3317,4,Y,Yes,23,3,3,8,2,16,0,2,38,0,5,4
1409,19,No,Sales,8,1,Human Resources,1,3,Female,54,1,1,Research Scientist,3,Married,19040,7866,2,Y,No,16,4,1,8,1,18,1,2,1,0,3,12
1410,49,No,Human Resources,23,2,Other,1,4,Male,59,2,4,Laboratory Technician,4,Divorced,6623,15135,8,Y,No,14,4,1,8,3,30,1,3,16,16,3,13
1411,40,Yes,Research & Development,22,4,Life Sciences,1,3,Female,40,2,2,Reseach Director,1,Single,12692,18255,1,Y,No,24,3,3,8,3,38,3,3,0,14,0,7
1412,39,Yes,Research & Development,21,1,Life Sciences,1,4,Female,46,2,4,Sales Representative,1,Single,12696,4936,2,Y,No,22,3,1,8,2,35,0,2,31,1,5,15
1413,42,No,Sales,22,1,Human Resources,1,3,Male,55,2,4,Sales Executive,1,Married,4810,9439,3,Y,Yes,17,3,1,8,3,14,1,2,18,10,7,4
1414,39,No,Human Resources,18,1,Other,1,3,Female,52,1,4,Reseach Director,1,Single,9289,21209,0,Y,Yes,11,3,2,8,1,28,3,3,13,1,7,0
1415,39,No,Human Resources,6,1,Medical,1,3,Male,85,3,1,Human Resources,3,Married,8385,22896,3,Y,Yes,14,3,1,8,3,39,2,3,30,8,14,16
1416,59,No,Sales,5,2,Human Resources,1,2,Female,81,3,3,Laboratory Technician,2,Divorced,11157,6088,3,Y,No,13,4,3,8,3,15,1,4,17,18,7,9
1417,23,Yes,Research & Development,13,3,Other,1,2,Female,77,3,4,Laboratory Technician,3,Divorced,15069,11782,8,Y,No,23,4,1,8,3,32,1,2,13,1,4,4
1418,32,Yes,Research & Development,22,3,Life Sciences,1,4,Male,49,2,1,Sales Representative,3,Married,18292,3780,7,Y,No,14,4,2,8,1,24,5,1,13,15,15,6
1419,60,No,Research & Development,22,4,Other,1,2,Female,31,1,1,Manufacturing Director,4,Divorced,2753,16379,1,Y,No,11,4,3,8,0,15,4,4,23,8,9,15
1420,54,No,Sales,8,3,Life Sciences,1,4,Male,60,1,1,Sales Representative,4,Divorced,19646,20923,6,Y,No,22,4,3,8,3,29,2,1,4,3,5,2
1421,50,Yes,Research & Development,9,3,Human Resources,1,1,Male,56,1,3,Healthcare Representative,2,Single,12862,19343,5,Y,No,23,3,3,8,0,33,0,4,15,12,4,11
1422,25,No,Sales,17,3,Human Resources,1,1,Male,31,3,3,Laboratory Technician,4,Single,15672,14596,6,Y,Yes,12,3,3,8,2,1,3,2,4,14,3,13
1423,61,No,Sales,3,3,Technical Degree,1,2,Female,33,2,3,Manufacturing Director,1,Single,2642,9044,3,Y,No,22,3,2,8,2,39,2,1,12,1,11,0
1424,61,No,Human Resources,19,4,Technical Degree,1,1,Female,42,1,3,Manufacturing Director,1,Single,9158,13808,4,Y,No,21,3,2,8,1,37,0,3,15,17,3,6
1425,22,No,Research & Development,11,2,Technical Degree,1,1,Female,64,2,2,Sales Representative,2,Single,15680,17855,5,Y,No,23,4,2,8,1,17,1,4,14,8,3,17
1426,56,No,Sales,24,1,Human Resources,1,3,Male,95,1,3,Manager,2,Married,5710,8176,8,Y,Yes,19,3,2,8,1,4,6,1,30,0,3,3
1427,21,No,Research & Development,17,3,Medical,1,3,Male,35,2,3,Reseach Director,3,Married,14358,15311,1,Y,Yes,25,3,1,8,1,39,5,4,4,2,13,15
1428,23,No,Research & Development,21,2,Human Resources,1,4,Female,60,1,3,Human Resources,2,Single,2022,12296,8,Y,No,17,4,2,8,0,5,6,2,20,16,14,10
1429,62,Yes,Human Resources,19,3,Other,1,1,Female,39,2,4,Manager,1,Divorced,17288,26907,0,Y,Yes,23,4,1,8,1,11,3,2,29,10,5,17
1430,49,Yes,Research & Development,25,3,Human Resources,1,4,Male,50,1,4,Laboratory Technician,4,Divorced,4308,18189,3,Y,Yes,16,3,3,8,0,11,3,1,22,7,14,15
1431,47,No,Human Resources,8,1,Human Resources,1,4,Female,52,1,3,Laboratory Technician,2,Married,2515,23781,4,Y,Yes,12,4,1,8,3,11,2,1,37,11,5,6
1432,64,No,Sales,19,1,Life Sciences,1,1,Male,32,2,2,Laboratory Technician,2,Married,5812,26715,8,Y,No,11,4,1,8,3,8,4,4,28,10,4,2
1433,52,No,Research & Development,7,1,Life Sciences,1,2,Female,61,2,4,Research Scientist,2,Married,18370,6141,5,Y,Yes,12,3,1,8,2,21,0,3,12,12,11,4
1434,57,No,Sales,28,3,Life Sciences,1,1,Male,49,3,1,Sales Executive,2,Divorced,19210,5549,3,Y,Yes,17,4,2,8,2,15,5,3,31,14,10,17
1435,33,No,Research & Development,27,3,Human Resources,1,3,Female,58,2,4,Sales Executive,1,Married,15769,21704,1,Y,Yes,12,3,2,8,0,3,5,3,26,16,13,16
1436,30,Yes,Sales,18,3,Medical,1,1,Female,81,1,1,Manufacturing Director,1,Divorced,11835,19724,4,Y,No,13,4,3,8,1,2,6,1,33,11,10,0
1437,59,No,Research & Development,6,1,Other,1,2,Male,75,1,4,Laboratory Technician,3,Married,14830,19643,7,Y,Yes,18,4,2,8,2,15,2,1,32,18,15,15
1438,47,No,Research & Development,19,4,Other,1,4,Male,63,2,3,Healthcare Representative,4,Divorced,14016,5582,7,Y,No,17,4,1,8,0,13,4,3,3,10,8,14
1439,36,No,Research & Development,24,2,Medical,1,4,Male,90,3,4,Human Resources,3,Married,16795,17562,5,Y,Yes,22,4,2,8,2,40,4,3,17,9,7,12
1440,34,No,Research & Development,6,4,Medical,1,3,Female,99,2,3,Sales Representative,3,Married,10149,18281,0,Y,No,21,3,2,8,1,37,4,1,5,16,9,6
1441,36,No,Research & Development,28,3,Other,1,3,Male,40,1,3,Human Resources,2,Divorced,7807,15254,7,Y,No,21,4,1,8,0,3,3,2,27,12,5,2
1442,45,No,Research & Development,2,3,Technical Degree,1,3,Male,92,1,4,Healthcare Representative,4,Married,17866,20373,3,Y,No,24,3,3,8,2,1,0,4,26,15,10,12
1443,43,No,Research & Development,6,4,Life Sciences,1,4,Female,50,3,1,Sales Representative,2,Single,1576,13820,1,Y,No,21,3,2,8,1,9,0,4,25,16,8,15
1444,54,No,Research & Development,23,3,Life Sciences,1,3,Male,32,2,1,Manufacturing Director,1,Divorced,12633,20655,0,Y,No,19,4,3,8,0,10,6,4,19,4,4,0
1445,43,No,Research & Development,5,2,Other,1,1,Male,39,1,4,Healthcare Representative,3,Married,13224,15004,6,Y,Yes,22,4,1,8,0,38,2,1,12,8,9,0
1446,40,No,Sales,19,3,Medical,1,4,Male,56,1,3,Laboratory Technician,4,Divorced,8975,8047,1,Y,Yes,14,3,2,8,0,25,1,2,27,3,14,15
1447,26,No,Human Resources,20,2,Technical Degree,1,2,Female,41,1,1,Healthcare Representative,1,Married,19651,12254,3,Y,Yes,17,4,3,8,3,36,2,1,33,8,15,1
1448,29,No,Research & Development,4,4,Other,1,4,Female,36,2,2,Laboratory Technician,3,Single,9129,4812,3,Y,No,11,4,3,8,0,25,0,4,22,15,3,17
1449,18,Yes,Human Resources,22,4,Life Sciences,1,1,Female,46,2,3,Healthcare Representative,2,Married,17288,12665,0,Y,No,21,3,1,8,2,3,6,3,9,6,13,17
1450,18,No,Research & Development,26,3,Human Resources,1,1,Male,94,3,4,Healthcare Representative,3,Married,12345,20419,1,Y,No,21,4,2,8,0,25,3,3,29,13,5,4
1451,64,No,Research & Development,17,2,Medical,1,3,Female,93,1,3,Manager,4,Single,5319,13430,0,Y,Yes,12,3,3,8,0,37,2,3,21,13,3,4
1452,51,No,Sales,11,3,Human Resources,1,4,Male,55,1,2,Human Resources,3,Divorced,14196,24388,5,Y,No,17,4,3,8,0,27,6,4,4,6,7,7
1453,49,No,Sales,4,1,Other,1,4,Male,44,3,2,Sales Executive,2,Married,15098,13767,2,Y,No,25,4,3,8,0,1,1,2,8,15,15,8
1454,65,No,Human Resources,26,1,Life Sciences,1,4,Male,62,1,1,Manager,3,Married,2991,26162,0,Y,No,12,4,3,8,0,1,5,4,3,17,6,13
1455,42,No,Sales,13,1,Technical Degree,1,2,Female,91,3,2,Sales Executive,3,Single,2105,22172,7,Y,No,16,4,3,8,3,15,2,1,0,5,4,12
1456,57,No,Sales,20,1,Human Resources,1,3,Female,76,3,3,Manager,4,Divorced,14591,16463,3,Y,Yes,23,4,3,8,1,22,6,2,33,6,9,17
1457,62,Yes,Human Resources,29,3,Technical Degree,1,1,Male,64,1,1,Research Scientist,4,Divorced,7506,21301,6,Y,No,20,4,3,8,3,22,4,3,40,18,5,3
1458,18,No,Sales,17,1,Life Sciences,1,1,Male,94,2,2,Sales Representative,2,Single,14554,16028,1,Y,No,22,3,3,8,2,12,1,2,25,7,10,17
1459,33,No,Research & Development,9,2,Human Resources,1,3,Female,54,2,1,Laboratory Technician,4,Single,12591,12111,5,Y,No,19,3,3,8,1,20,4,2,17,0,15,14
1460,56,Yes,Human Resources,4,4,Technical Degree,1,1,Female,86,2,1,Manager,3,Married,16387,10506,5,Y,No,21,4,3,8,2,38,3,4,15,16,6,6
1461,22,No,Human Resources,23,4,Technical Degree,1,1,Female,61,2,4,Manager,4,Single,11873,3838,6,Y,Yes,15,4,2,8,0,24,0,2,22,18,15,12
1462,39,No,Research & Development,28,1,Human Resources,1,3,Male,92,1,1,Manufacturing Director,4,Single,19812,19005,0,Y,No,20,3,1,8,2,36,2,4,35,6,1,1
1463,46,No,Sales,14,1,Life Sciences,1,1,Female,41,3,1,Healthcare Representative,4,Single,5288,24860,0,Y,Yes,17,3,1,8,3,12,6,1,25,17,8,8
1464,20,No,Human Resources,19,1,Technical Degree,1,4,Female,92,3,2,Research Scientist,2,Divorced,18066,10417,1,Y,Yes,23,3,1,8,3,14,2,2,1,5,6,4
1465,29,No,Human Resources,26,3,Other,1,2,Female,30,1,3,Sales Representative,2,Single,8321,14087,1,Y,No,11,4,3,8,0,27,4,2,4,5,7,0
1466,43,No,Research & Development,28,4,Human Resources,1,3,Male,80,2,3,Reseach Director,1,Married,16449,6578,4,Y,No,18,4,1,8,0,2,4,2,28,0,13,12
1467,33,No,Research & Development,3,1,Medical,1,2,Female,99,3,2,Manager,2,Married,3378,18577,0,Y,Yes,19,4,3,8,1,22,0,3,3,9,4,5
1468,54,No,Sales,14,2,Medical,1,1,Male,37,1,3,Reseach Director,2,Married,17201,16420,1,Y,No,25,3,2,8,3,3,6,4,34,7,14,9
1469,39,No,Human Resources,8,1,Life Sciences,1,1,Male,97,1,1,Sales Executive,2,Single,18459,22199,5,Y,No,23,3,1,8,3,2,2,4,21,6,2,10
1470,46,No,Sales,24,4,Other,1,4,Male,34,2,4,Healthcare Representative,3,Divorced,6441,21204,2,Y,Yes,15,4,2,8,1,38,6,3,7,8,1,15
1471,31,No,Sales,27,1,Technical Degree,1,3,Female,68,1,1,Reseach Director,1,Single,1696,21021,3,Y,Yes,16,3,2,8,3,7,0,4,20,0,14,0
1472,45,No,Research & Development,28,4,Medical,1,1,Female,52,3,1,Sales Executive,3,Single,14184,21034,0,Y,Yes,23,4,3,8,1,24,4,1,7,10,1,4
1473,22,No,Human Resources,1,1,Life Sciences,1,3,Female,97,3,4,Research Scientist,2,Married,1077,25322,4,Y,Yes,21,4,1,8,3,40,5,3,4,2,2,5
1474,64,No,Human Resources,10,2,Other,1,3,Male,81,1,2,Human Resources,2,Single,11304,13325,3,Y,Yes,18,3,2,8,2,11,6,4,20,17,0,5
1475,47,No,Human Resources,18,1,Other,1,3,Female,33,3,1,Laboratory Technician,1,Divorced,7783,19424,7,Y,Yes,14,4,1,8,2,4,4,1,26,5,0,4
1476,63,Yes,Research & Development,25,2,Life Sciences,1,3,Male,76,1,1,Manager,1,Married,17812,11852,2,Y,No,12,3,2,8,1,32,1,1,37,10,6,5
1477,22,No,Research & Development,8,2,Life Sciences,1,3,Female,50,3,2,Reseach Director,4,Divorced,13199,17794,0,Y,No,25,3,2,8,1,24,4,3,4,4,9,12
1478,29,Yes,Research & Development,1,1,Technical Degree,1,2,Female,85,2,1,Human Resources,2,Divorced,11798,23412,4,Y,No,20,4,3,8,0,24,4,4,20,3,11,0
1479,33,No,Research & Development,12,2,Life Sciences,1,4,Female,95,3,1,Healthcare Representative,2,Divorced,7900,20529,0,Y,No,18,4,1,8,3,34,6,1,7,7,10,0
1480,43,No,Research & Development,8,3,Technical Degree,1,3,Female,88,2,3,Manufacturing Director,3,Single,11325,2285,4,Y,No,12,3,3,8,2,14,5,1,21,9,7,13
1481,43,No,Human Resources,24,1,Technical Degree,1,2,Male,36,2,2,Research Scientist,4,Single,1448,25780,8,Y,No,15,4,3,8,0,25,0,1,17,2,5,7
1482,65,No,Sales,16,1,Human Resources,1,1,Male,78,1,1,Laboratory Technician,2,Single,18601,21435,4,Y,No,25,3,3,8,3,9,1,4,3,12,15,8
1483,38,No,Human Resources,18,2,Other,1,3,Male,45,2,1,Healthcare Representative,3,Single,19956,26650,1,Y,No,23,4,3,8,2,23,1,3,3,16,6,9
1484,56,No,Sales,4,2,Other,1,1,Male,46,3,4,Research Scientist,1,Married,8475,13704,1,Y,No,16,3,3,8,3,34,2,4,36,4,0,5
1485,53,No,Research & Development,6,1,Other,1,3,Female,63,3,4,Manufacturing Director,3,Single,18646,21399,8,Y,Yes,15,3,2,8,1,28,5,2,14,7,13,8
1486,50,No,Sales,12,3,Human Resources,1,2,Male,62,2,4,Sales Executive,2,Married,4218,21715,4,Y,Yes,16,4,1,8,2,37,3,3,37,18,0,17
1487,47,No,Human Resources,27,2,Technical Degree,1,2,Male,55,1,1,Manufacturing Director,3,Divorced,4558,22341,7,Y,No,16,4,1,8,2,4,2,2,26,17,8,14
1488,54,Yes,Human Resources,28,2,Technical Degree,1,2,Male,95,2,1,Reseach Director,3,Married,18007,10321,3,Y,No,13,3,3,8,0,23,2,4,20,0,4,3
1489,40,No,Sales,15,4,Life Sciences,1,4,Female,92,3,4,Laboratory Technician,4,Single,4087,6658,1,Y,Yes,21,3,1,8,3,18,2,3,3,3,6,1
1490,27,No,Research & Development,16,3,Human Resources,1,1,Male,70,3,3,Sales Representative,4,Married,4499,8687,3,Y,Yes,21,3,2,8,1,8,1,2,10,17,5,5
1491,22,No,Research & Development,24,3,Life Sciences,1,4,Male,87,2,3,Manager,1,Single,4552,7701,3,Y,Yes,13,3,3,8,1,25,0,4,18,13,3,16
1492,53,No,Human Resources,12,1,Human Resources,1,3,Female,39,2,3,Manager,4,Single,19293,21689,8,Y,No,19,4,2,8,3,24,6,3,18,10,0,6
1493,51,No,Sales,24,3,Life Sciences,1,1,Female,44,2,3,Sales Executive,3,Married,7760,7200,5,Y,Yes,13,4,2,8,3,34,4,1,26,8,3,14
1494,48,No,Research & Development,23,1,Medical,1,2,Male,71,3,2,Healthcare Representative,4,Married,15915,3875,5,Y,Yes,13,4,3,8,1,35,1,1,39,12,9,1
1495,27,No,Research & Development,14,4,Other,1,1,Male,86,3,4,Laboratory Technician,2,Divorced,19105,12250,4,Y,Yes,21,3,2,8,3,13,4,1,27,16,9,11
1496,36,No,Human Resources,13,3,Other,1,2,Female,46,3,1,Sales Executive,3,Divorced,15434,26770,5,Y,No,24,4,3,8,0,5,4,2,4,14,15,9
1497,49,Yes,Research & Development,25,2,Technical Degree,1,4,Male,89,1,4,Sales Representative,3,Divorced,19722,24306,0,Y,Yes,12,3,2,8,3,31,3,2,24,1,7,16
1498,18,No,Sales,2,4,Medical,1,4,Female,38,3,3,Reseach Director,3,Divorced,12820,7923,4,Y,No,17,3,1,8,0,25,6,4,2,5,12,17
1499,22,No,Human Resources,3,1,Other,1,2,Male,65,3,1,Reseach Director,2,Divorced,18587,2133,5,Y,Yes,20,4,1,8,0,14,2,1,25,6,15,15
1500,62,No,Human Resources,26,4,Technical Degree,1,2,Male,65,1,2,Manufacturing Director,3,Married,7790,13278,7,Y,Yes,20,4,1,8,3,30,3,2,9,1,11,9
1501,21,No,Sales,24,1,Medical,1,3,Male,77,1,4,Manager,4,Divorced,18771,24685,3,Y,No,14,3,3,8,2,36,2,1,23,12,10,7
1502,33,No,Human Resources,22,4,Other,1,4,Male,80,1,1,Human Resources,2,Married,16572,13653,4,Y,Yes,11,3,2,8,2,37,1,4,28,9,12,12
1503,41,No,Research & Development,10,1,Life Sciences,1,4,Male,99,1,1,Laboratory Technician,3,Divorced,15806,19537,3,Y,Yes,16,4,2,8,0,36,4,3,6,15,0,15
1504,33,No,Research & Development,9,3,Human Resources,1,3,Female,97,1,3,Human Resources,4,Single,18142,11960,6,Y,Yes,15,3,1,8,3,18,3,2,22,8,1,7
1505,19,No,Sales,26,2,Medical,1,4,Female,51,1,3,Manufacturing Director,4,Divorced,1309,5781,5,Y,No,24,4,1,8,0,13,5,2,26,7,7,11
1506,45,No,Research & Development,20,1,Technical Degree,1,2,Male,35,2,4,Healthcare Representative,1,Single,5704,9687,3,Y,No,21,4,3,8,3,35,1,3,8,14,14,16
1507,49,No,Sales,8,4,Medical,1,1,Male,55,2,2,Reseach Director,4,Married,13183,25283,5,Y,No,12,3,3,8,3,36,1,2,2,6,1,15
1508,44,Yes,Sales,25,1,Technical Degree,1,1,Male,32,2,1,Manager,1,Divorced,17231,16779,3,Y,Yes,16,3,2,8,1,10,5,1,12,18,10,8
1509,37,No,Research & Development,19,1,Medical,1,4,Female,81,2,3,Sales Representative,1,Married,17670,22473,7,Y,No,11,3,3,8,2,26,2,2,5,3,12,16
1510,41,Yes,Sales,22,1,Technical Degree,1,3,Female,89,3,4,Sales Representative,1,Divorced,11759,2417,2,Y,Yes,13,3,3,8,2,1,4,2,37,8,11,7
1511,29,No,Research & Development,24,4,Other,1,2,Female,92,1,3,Sales Representative,2,Married,8316,25681,7,Y,Yes,14,3,3,8,1,21,2,3,20,18,14,11
1512,52,No,Human Resources,5,2,Life Sciences,1,1,Female,94,3,4,Laboratory Technician,4,Divorced,19554,3212,1,Y,Yes,23,4,1,8,1,1,2,4,18,1,9,8
1513,50,No,Human Resources,3,3,Other,1,2,Female,81,1,3,Manager,2,Divorced,14827,18583,5,Y,Yes,13,4,1,8,1,19,1,1,24,6,8,5
1514,50,No,Sales,26,2,Life Sciences,1,4,Female,43,1,2,Reseach Director,2,Single,2398,12962,7,Y,Yes,25,4,2,8,0,16,2,1,38,18,2,9
1515,60,Yes,Research & Development,25,1,Other,1,4,Female,97,3,1,Human Resources,3,Married,9891,8386,0,Y,Yes,23,4,3,8,0,3,0,3,3,5,2,8
1516,54,No,Research & Development,16,4,Other,1,1,Female,57,2,3,Manufacturing Director,2,Married,11049,7285,5,Y,Yes,16,3,1,8,0,13,5,4,21,14,5,3
1517,29,No,Human Resources,17,2,Medical,1,4,Male,39,3,1,Healthcare Representative,2,Married,7150,25700,8,Y,Yes,21,4,3,8,0,6,6,3,4,6,2,10
1518,20,Yes,Human Resources,24,1,Human Resources,1,3,Female,86,3,4,Sales Representative,2,Married,14119,17305,1,Y,No,14,3,2,8,0,14,5,1,0,5,8,5
1519,18,No,Research & Development,3,3,Technical Degree,1,4,Female,95,1,2,Sales Executive,2,Married,6978,17703,0,Y,No,24,3,3,8,2,29,4,1,16,0,10,17
1520,50,No,Sales,12,3,Technical Degree,1,4,Female,79,1,1,Manager,1,Single,14171,16322,1,Y,Yes,11,3,2,8,2,15,5,4,8,13,7,3
1521,57,No,Human Resources,9,3,Technical Degree,1,4,Female,43,1,3,Manufacturing Director,4,Divorced,10140,20515,4,Y,No,15,3,2,8,3,39,2,4,8,0,3,11
1522,27,No,Sales,21,1,Life Sciences,1,2,Male,45,2,1,Healthcare Representative,3,Single,6046,19279,5,Y,No,15,3,1,8,2,1,2,3,23,5,5,8
1523,60,No,Sales,12,4,Technical Degree,1,2,Female,83,3,1,Healthcare Representative,1,Married,15702,12132,0,Y,No,19,4,3,8,1,18,3,1,9,17,7,14
1524,61,No,Human Resources,26,2,Technical Degree,1,1,Male,72,3,4,Research Scientist,3,Married,3460,2858,6,Y,Yes,18,3,1,8,2,0,4,4,19,16,3,8
1525,46,No,Sales,15,3,Medical,1,1,Male,71,2,2,Sales Representative,3,Divorced,1033,15788,3,Y,No,25,3,3,8,1,30,4,3,16,1,14,5
1526,30,No,Sales,2,1,Other,1,1,Male,51,3,2,Research Scientist,1,Single,6971,5619,8,Y,Yes,18,4,3,8,2,3,5,2,12,7,12,10
1527,29,No,Research & Development,23,1,Technical Degree,1,4,Female,97,3,1,Manufacturing Director,2,Divorced,3565,20782,5,Y,No,15,4,2,8,0,26,2,1,28,1,4,6
1528,48,No,Sales,18,2,Human Resources,1,2,Female,48,1,1,Healthcare Representative,1,Divorced,17453,13113,8,Y,No,18,4,2,8,2,24,0,4,35,15,6,13
1529,63,No,Research & Development,20,3,Technical Degree,1,3,Female,95,2,4,Sales Executive,3,Single,8684,19964,0,Y,No,24,3,3,8,3,21,3,4,22,3,7,15
1530,19,Yes,Human Resources,25,1,Life Sciences,1,4,Male,68,1,1,Manager,2,Divorced,17515,6221,3,Y,Yes,20,3,1,8,0,9,0,4,26,1,6,14
1531,52,No,Human Resources,23,2,Life Sciences,1,4,Male,48,2,4,Research Scientist,2,Single,6625,13850,1,Y,Yes,17,3,2,8,0,32,2,1,17,4,7,8
1532,40,No,Research & Development,4,4,Life Sciences,1,4,Male,45,1,2,Healthcare Representative,1,Single,11303,20849,5,Y,Yes,11,3,2,8,3,29,4,3,17,16,15,11
1533,34,No,Human Resources,23,4,Technical Degree,1,3,Male,83,3,2,Manager,4,Married,18579,21785,3,Y,Yes,22,4,3,8,2,29,4,2,8,1,3,10
